"","lat","long","depth","mag","stations"
"2694",37.5235,-118.43783,6.18,0.83,2
"2695",63.0519,-151.4377,7.6,1.1,1
"2696",37.4995,-118.8475,6.82,0.82,2
"2697",61.3507,-150.0279,39.5,1.2,1
"2698",33.22583,-116.7415,11.1,0.57,2
"2699",58.956,-154.4559,126.3,2.1,1
"2700",19.3176,-65.1225,59,3.23,3
"2701",63.2478,-151.1791,6.9,1.1,1
"2702",44.77867,-111.08517,10.12,0.3,14
"2703",65.3224,-148.3031,13.1,1,1
"2704",44.77717,-111.09533,10.47,1.16,14
"2705",36.7805,-121.42867,10.34,0.93,2
"2706",40.0706,-120.1453,0,0.1,9
"2707",65.5367,-166.6989,17.2,2.5,1
"2708",63.4271,-150.2792,5,1.5,1
"2709",-14.5471,-76.6798,10,4.4,13
"2710",61.5203,-146.3414,29.7,1.3,1
"2711",45.68167,-112.155,1.81,1.1,7
"2712",33.49417,-116.789,4.63,0.73,2
"2713",62.9912,-150.9345,109.8,1.4,1
"2714",61.4399,-150.0696,40.2,1.3,1
"2715",62.785,-149.5998,72.6,1.4,1
"2716",60.1792,-152.8592,103.9,1.7,1
"2717",37.29067,-121.65783,6.59,1.08,2
"2718",18.7771,-68.6885,119,2.96,3
"2719",17.7061,-68.7447,89.17,2.7,13
"2720",61.5224,-149.9677,45.9,1.1,1
"2721",59.6944,-153.2203,107.6,2.5,1
"2722",66.99,-157.734,19.6,1.8,1
"2723",63.0895,-149.5436,90.8,2,1
"2724",65.5166,-166.7108,17.3,1.7,1
"2725",61.2334,-150.2245,37.2,1.7,1
"2726",38.79317,-122.76283,0.32,2.35,2
"2727",44.77717,-111.091,9.82,0.34,14
"2728",62.3756,-154.8393,8.7,1.3,1
"2729",33.48933,-116.79267,4.43,0.73,2
"2730",64.9815,-147.3062,0,1.3,1
"2731",61.3927,-150.079,34.1,1.7,1
"2732",37.0185,-116.2258,4.2,0.4,9
"2733",33.5135,-116.49917,13.18,0.7,2
"2734",37.4335,-118.49633,5.58,0.85,2
"2735",32.61417,-117.15217,11.62,0.81,2
"2736",63.4561,-151.3288,8.7,1.4,1
"2737",66.5236,-148.8169,1.6,1.1,1
"2738",19.41167,-155.26384,1.52,1.7,4
"2739",33.51683,-116.79417,2.74,0.27,2
"2740",38.8125,-122.816,2.8,0.8,2
"2741",18.9998,-67.5583,90,3.27,3
"2742",38.83517,-122.82983,1.29,1.04,2
"2743",61.5453,-149.9011,54.2,2.2,1
"2744",18.5243,-66.614,88,2.85,3
"2745",33.962,-116.74417,16.68,0.81,2
"2746",61.3688,-150.036,41.6,1.8,1
"2747",38.8285,-122.79583,1.46,1.16,2
"2748",44.77733,-111.089,10.02,0.4,14
"2749",50.1095,18.4559,5.5,3.9,13
"2750",60.7486,-151.5288,73.8,1.6,1
"2751",44.77317,-111.0985,10.29,0.58,14
"2752",44.78567,-111.08283,9.91,0.13,14
"2753",37.57917,-118.871,3.38,-0.01,2
"2754",39.0075,-118.2225,9.6,1.6,9
"2755",37.5955,-118.94167,0.9,0.82,2
"2756",35.4824,-115.5352,0,2.2,9
"2757",61.4649,-149.935,44.9,1.9,1
"2758",37.292,-121.65867,6.95,1.11,2
"2759",37.641,-118.8145,1.77,0.41,2
"2760",44.56617,-110.96367,13.86,0.69,14
"2761",38.4145,-118.6209,12.1,0.6,9
"2762",37.64117,-118.81117,2.24,0.53,2
"2763",38.417,-118.6126,10.4,1.4,9
"2764",38.4164,-118.6164,11.8,1.5,9
"2765",32.64017,-116.95867,-0.43,1.04,2
"2766",43.6232,-105.2184,0,3,13
"2767",61.561,-150.6055,53.5,1.1,1
"2768",35.8785,-115.7691,7.2,2.3,9
"2769",33.149,-115.62,9.08,2,2
"2770",32.62267,-117.09833,10.88,1.62,2
"2771",39.2669,-115.014,0,1.5,9
"2772",37.6221,20.6901,10,4.3,13
"2773",62.4396,-149.9524,63.5,2.3,1
"2774",33.3205,-116.417,7.03,1.74,2
"2775",61.3894,-150.0378,42.8,1,1
"2776",60.6875,-152.3165,93.7,1.6,1
"2777",33.32017,-116.39133,7.5,0.75,2
"2778",33.32083,-116.408,6.56,1.43,2
"2779",61.8179,-150.2178,15,0.9,1
"2780",33.91717,-116.9015,10.59,1.39,2
"2781",61.4321,-150.0217,42.3,1.1,1
"2782",36.03533,-117.77567,2.06,0.53,2
"2783",36.718,-116.3207,8.3,0.1,9
"2784",33.49233,-116.79067,5.53,1.15,2
